title,vote_average,vote_count,genres
The Fugitive,7.2,1240.0,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
Geronimo: An American Legend,5.9,44.0,"['History', 'Action', 'Drama', 'Western']"
The Getaway,5.4,81.0,"['Drama', 'Action', 'Thriller']"
Getting Even with Dad,4.5,43.0,"['Family', 'Comedy', 'Crime']"
A Good Man in Africa,5.2,11.0,"['Comedy', 'Drama']"
Guilty as Sin,5.6,21.0,"['Drama', 'Thriller']"
Hard Target,6.1,237.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Heaven & Earth,6.4,51.0,"['History', 'War', 'Action', 'Drama']"
Hot Shots! Part Deux,6.2,463.0,"['Action', 'Comedy', 'War']"
Live Nude Girls,4.7,12.0,['Comedy']
The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0,"['Drama', 'Comedy', 'Romance']"
The House of the Spirits,6.7,135.0,"['Romance', 'Drama']"
House Party 3,4.6,11.0,['Comedy']
The Hudsucker Proxy,7.1,280.0,"['Comedy', 'Drama']"
I'll Do Anything,5.7,18.0,"['Comedy', 'Drama']"
In the Army Now,4.7,54.0,['Comedy']
In the Line of Fire,6.8,392.0,"['Action', 'Drama', 'Thriller', 'Crime', 'Mystery']"
In the Name of the Father,7.6,363.0,['Drama']
What's Love Got to Do with It,6.9,75.0,"['Drama', 'Music']"
Jimmy Hollywood,4.6,17.0,['Comedy']
Judgment Night,6.4,79.0,"['Action', 'Thriller', 'Crime']"
Jurassic Park,7.6,4956.0,"['Adventure', 'Science Fiction']"
Kalifornia,6.5,209.0,"['Thriller', 'Crime']"
Killing Zoe,6.1,111.0,"['Action', 'Crime', 'Drama', 'Thriller']"
King of the Hill,6.4,33.0,['Drama']
Lassie,6.1,54.0,"['Action', 'Adventure', 'Drama', 'Family']"
Last Action Hero,6.1,725.0,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
Life With Mikey,5.1,24.0,"['Comedy', 'Family']"
Lightning Jack,5.7,40.0,"['Action', 'Comedy', 'Western']"
M. Butterfly,6.6,35.0,"['Drama', 'Romance']"
Made in America,5.3,86.0,['Comedy']
Malice,5.9,105.0,"['Drama', 'Crime']"
The Man without a Face,6.2,125.0,['Drama']
Manhattan Murder Mystery,7.1,169.0,"['Comedy', 'Mystery']"
Menace II Society,7.2,179.0,"['Drama', 'Action', 'Crime']"
Executive Decision,5.8,261.0,"['Action', 'Adventure', 'Drama', 'Thriller']"
In the Realm of the Senses,6.5,112.0,"['Drama', 'Romance']"
Much Ado About Nothing,7.2,194.0,"['Drama', 'Comedy', 'Romance']"
Mr. Jones,5.9,35.0,"['Drama', 'Romance']"
Mr. Wonderful,5.5,11.0,"['Comedy', 'Romance']"
Mrs. Doubtfire,7.0,1638.0,"['Comedy', 'Drama', 'Family']"
Naked,7.5,105.0,"['Comedy', 'Drama']"
The Next Karate Kid,4.8,202.0,['Adventure']
No Escape,6.1,86.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
North,4.8,67.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']"
Orlando,6.7,53.0,"['Romance', 'Drama', 'Fantasy']"
A Perfect World,7.2,376.0,"['Crime', 'Drama', 'Thriller']"
Philadelphia,7.6,1019.0,['Drama']
